CustomerID,Age,Gender,AnnualIncome,Education,Occupation,City,TenureMonths,MembershipTier,PreferredChannel,TotalPurchases,TotalSpend,AvgOrderValue,PurchaseFrequencyPerMonth,WebsiteVisitsPerMonth,AppUsageHoursPerMonth,DiscountUsesPerYear,Returns,LastPurchaseDays,SatisfactionScore,SupportTickets,EmailOpenRatePct,CartAbandonmentRatePct,Churned
C000001,56,Female,68248,Bachelor,Sales,Kochi,51,None,Store,197,48713.02,247.27,5.36,15,5.8,7,4,60,10.0,0,61.6,48.0,1
C000002,69,Female,41354,Bachelor,Teacher,Madurai,5,Platinum,Website,2,43086.59,21543.3,0.5,14,22.1,7,0,10,8.1,2,62.9,49.9,0
C000003,46,Male,62086,Diploma,IT,Bengaluru,89,Gold,Website,277,114560.8,413.58,2.81,16,14.9,3,0,127,8.1,0,47.5,13.6,1
C000004,32,Male,34670,Diploma,Student,Madurai,79,Silver,Store,541,35138.0,64.95,5.29,18,23.4,3,0,137,6.7,1,75.9,23.4,1
C000005,60,Male,25635,Master,Student,Kochi,42,Gold,Mobile App,158,15158.16,95.94,4.04,21,15.1,8,2,42,9.9,2,40.6,68.7,0
C000006,25,Male,47979,High School,Sales,Delhi,6,Silver,Website,32,51115.18,1597.35,7.81,18,8.4,7,2,21,5.7,3,53.0,38.7,0
C000007,38,Female,69784,Bachelor,Healthcare,Delhi,74,Silver,Website,580,129155.7,222.68,8.09,17,23.6,5,1,137,5.9,0,47.6,15.0,1
C000008,56,Female,76677,Master,Other,Pune,78,Gold,Website,130,45172.15,347.48,1.35,11,19.1,6,3,57,6.4,1,57.0,22.8,1
C000009,36,Female,94515,Bachelor,Student,Pune,53,None,Store,127,69531.74,547.49,2.64,15,15.6,10,2,13,6.3,2,78.7,38.8,0
C000010,40,Male,80467,High School,Teacher,Kochi,27,None,Website,15,53812.33,3587.49,0.5,14,16.6,4,2,76,9.1,3,57.5,50.8,0
C000011,28,Female,26159,Bachelor,Finance,Madurai,20,None,Store,56,17058.38,304.61,3.52,21,1.5,10,1,15,10.0,2,71.8,40.3,0
C000012,28,Female,48552,Diploma,IT,Pune,47,Gold,Marketplace,104,113580.73,1092.12,1.77,10,5.1,2,2,105,8.1,3,57.3,18.3,1
C000013,41,Male,32766,High School,Other,Bengaluru,16,Silver,Website,39,39144.89,1003.72,3.19,22,16.8,10,1,57,5.7,3,15.1,48.0,0
C000014,53,Female,82670,Bachelor,Other,Madurai,31,Gold,Website,75,118964.99,1586.2,2.25,8,4.0,4,1,105,4.8,0,44.2,40.7,1
C000015,57,Female,56735,Master,Other,Chennai,6,None,Store,5,66567.21,13313.44,1.19,14,11.9,2,3,62,5.6,0,37.2,3.0,1
C000016,41,Male,43065,Bachelor,Teacher,Hyderabad,20,None,Website,153,12306.15,80.43,8.0,19,9.5,3,0,20,7.3,2,51.4,28.9,1
C000017,20,Male,87984,Bachelor,Business,Hyderabad,5,Silver,Website,25,69616.69,2784.67,7.18,20,10.9,8,0,134,6.7,2,87.4,3.8,0
C000018,39,Female,136795,Bachelor,Teacher,Chennai,11,Silver,Store,23,308400.6,13408.72,2.29,8,6.4,2,0,27,7.1,3,17.8,44.8,0
C000019,19,Female,15000,Master,Teacher,Delhi,112,Silver,Mobile App,280,13719.03,49.0,3.14,11,21.4,8,1,50,7.7,0,55.4,32.6,1
C000020,41,Female,46748,Bachelor,IT,Pune,53,Gold,Store,104,36684.01,352.73,2.4,14,5.9,7,5,92,8.7,0,68.2,63.1,1
C000021,61,Male,139550,High School,Engineer,Kochi,92,Silver,Mobile App,389,105160.45,270.34,4.72,12,21.8,6,3,47,9.4,2,68.9,15.7,0
C000022,47,Male,52613,Diploma,Healthcare,Bengaluru,74,Silver,Mobile App,420,41571.49,98.98,6.17,18,12.0,4,2,65,7.4,1,47.6,28.5,0
C000023,55,Male,101239,Master,Sales,Mumbai,28,None,Mobile App,107,199038.97,1860.18,3.0,15,13.7,6,0,28,6.9,0,55.7,27.6,0
C000024,19,Male,40791,Bachelor,Sales,Chennai,111,Silver,Website,318,38663.71,121.58,3.97,17,21.3,6,0,120,6.0,1,95.6,37.5,1
C000025,38,Female,25895,Diploma,Business,Pune,41,Silver,Mobile App,298,45512.7,152.73,6.52,10,11.5,2,2,48,4.4,1,67.9,27.1,1
C000026,50,Female,96572,Bachelor,Business,Coimbatore,29,Platinum,Mobile App,145,101194.55,697.89,5.47,18,19.6,7,2,110,5.6,1,98.0,52.6,1
C000027,29,Female,51016,Bachelor,Engineer,Delhi,37,None,Marketplace,85,56363.29,663.1,2.27,15,0.0,8,0,9,9.8,4,59.5,47.2,0
C000028,39,Male,52205,PhD,Teacher,Coimbatore,90,None,Website,773,96522.41,124.87,9.44,16,4.9,2,2,19,5.7,4,46.4,18.1,0
C000029,61,Male,39243,Bachelor,Student,Hyderabad,77,Platinum,Mobile App,267,30827.0,115.46,3.41,19,13.5,8,2,49,4.8,3,43.2,34.4,1
C000030,42,Female,40130,Diploma,Finance,Hyderabad,28,Gold,Mobile App,53,47131.38,889.27,2.97,18,8.8,10,2,58,7.5,1,73.1,14.3,1
C000031,66,Female,31365,Bachelor,Engineer,Coimbatore,44,Silver,Mobile App,413,36478.63,88.33,7.24,22,13.8,6,0,62,9.3,2,53.7,70.6,0
C000032,44,Female,58483,Bachelor,Business,Kochi,61,None,Store,349,59905.36,171.65,4.77,16,16.2,7,3,51,8.0,3,76.7,40.2,1
C000033,59,Male,137626,Master,Business,Pune,10,None,Mobile App,50,125181.53,2503.63,4.24,19,9.3,11,2,68,6.1,1,72.8,30.0,1
C000034,45,Male,63576,PhD,Finance,Chennai,79,Silver,Store,401,84897.66,211.71,4.79,11,11.5,8,0,32,9.0,1,58.1,16.0,1
C000035,33,Female,41516,Master,Engineer,Madurai,69,None,Website,456,104186.28,228.48,6.27,18,12.1,10,1,44,9.8,0,82.9,30.7,0
C000036,32,Male,28717,Master,Other,Kochi,87,None,Mobile App,119,27397.15,230.23,1.53,16,7.2,2,2,58,5.6,0,82.0,57.8,1
C000037,64,Male,56696,Master,Healthcare,Bengaluru,53,Silver,Store,331,49060.94,148.22,5.89,14,9.2,7,1,50,6.3,0,44.0,34.0,1
C000038,68,Female,24512,High School,Business,Coimbatore,93,Silver,Mobile App,421,71335.8,169.44,4.27,12,15.4,6,0,82,6.5,0,65.1,62.3,1
C000039,61,Female,26334,Diploma,Student,Pune,59,Gold,Website,197,26132.15,132.65,4.28,13,12.9,3,1,52,7.8,2,50.4,32.3,1
C000040,69,Female,35124,Master,Healthcare,Bengaluru,78,Silver,Mobile App,494,41336.17,83.68,6.14,13,10.6,5,2,118,8.8,4,38.6,35.1,1
C000041,20,Male,46393,Bachelor,Engineer,Hyderabad,36,Gold,Mobile App,68,38442.21,565.33,2.21,13,10.9,8,0,39,7.4,1,82.5,42.5,1
C000042,54,Female,78158,Master,Engineer,Coimbatore,59,Gold,Website,506,99604.59,196.85,7.73,16,17.2,10,1,18,7.0,1,48.2,50.8,0
C000043,68,Female,66417,High School,Student,Delhi,96,None,Mobile App,255,171593.23,672.91,2.45,4,14.1,2,0,62,5.0,2,65.8,15.2,0
C000044,24,Male,70069,Bachelor,Teacher,Madurai,50,Silver,Website,230,116264.9,505.5,4.52,11,17.5,6,5,62,8.1,1,67.0,27.7,1
C000045,38,Male,255884,PhD,Teacher,Kochi,13,None,Marketplace,35,262021.55,7486.33,3.76,9,14.5,7,1,59,6.0,1,60.4,36.1,1
C000046,26,Female,104897,Master,Sales,Kochi,10,None,Website,43,192906.26,4486.19,3.87,14,16.6,7,3,45,5.1,2,56.0,33.2,0
C000047,56,Male,102726,Bachelor,Healthcare,Coimbatore,109,None,Mobile App,171,103584.84,605.76,1.48,13,6.6,6,2,61,5.8,0,73.2,27.9,0
C000048,35,Female,78508,Bachelor,Healthcare,Madurai,5,Gold,Mobile App,15,133334.88,8888.99,3.16,19,20.3,12,0,39,9.0,3,94.1,15.5,0
C000049,21,Male,17653,High School,Business,Bengaluru,110,Silver,Mobile App,589,38185.22,64.83,5.99,16,13.6,5,2,70,7.1,4,39.6,42.6,0
C000050,42,Male,18497,PhD,Business,Pune,12,None,Website,71,24963.2,351.59,7.18,19,14.3,6,0,51,5.0,2,73.5,10.1,1
C000051,31,Male,98455,Bachelor,Finance,Chennai,84,Gold,Mobile App,458,74243.89,162.1,5.29,15,14.6,15,1,53,8.7,3,69.1,31.8,0
C000052,67,Female,50133,Diploma,IT,Hyderabad,87,Platinum,Marketplace,651,55803.52,85.72,8.66,27,13.1,5,1,25,9.6,1,58.0,53.5,0
C000053,26,Male,161495,Bachelor,Business,Pune,6,None,Mobile App,26,135914.88,5227.5,3.78,15,13.0,3,2,84,9.1,1,61.2,55.9,1
C000054,43,Female,50612,PhD,IT,Bengaluru,5,Silver,Mobile App,27,87592.63,3244.17,5.43,12,14.3,4,1,107,6.4,2,63.0,30.1,1
C000055,19,Male,81120,Diploma,Engineer,Delhi,71,None,Store,402,85765.73,213.35,5.94,21,2.5,3,0,41,7.3,2,53.4,46.5,0
C000056,37,Female,94707,High School,IT,Pune,10,Gold,Store,15,151224.26,10081.62,1.68,15,13.4,8,1,30,5.8,0,52.3,49.4,0
C000057,45,Male,83281,Bachelor,Other,Pune,86,Silver,Store,691,101274.81,146.56,6.26,18,9.7,1,0,85,4.9,0,38.4,28.1,0
C000058,64,Female,43559,Diploma,IT,Bengaluru,6,Gold,Mobile App,56,58496.14,1044.57,7.87,16,4.6,5,1,29,7.2,0,49.7,33.7,0
C000059,24,Female,60939,Bachelor,Healthcare,Bengaluru,109,Silver,Mobile App,115,40025.27,348.05,1.58,9,11.1,7,1,51,6.5,3,48.2,37.0,1
C000060,61,Male,69202,Master,IT,Chennai,75,Gold,Mobile App,384,134952.4,351.44,4.41,15,14.1,5,1,3,7.0,2,46.5,53.8,1
C000061,25,Female,37821,Bachelor,IT,Kochi,89,None,Mobile App,528,69927.89,132.44,5.53,11,20.1,3,2,68,5.6,2,39.3,3.0,1
C000062,64,Male,29124,High School,Finance,Madurai,7,Silver,Website,57,24809.73,435.26,9.15,8,18.9,8,3,111,6.1,1,58.9,20.9,1
C000063,52,Female,87078,High School,Healthcare,Mumbai,2,Platinum,Website,14,114417.27,8172.66,6.52,10,11.9,9,1,15,7.6,2,86.7,40.7,0
C000064,31,Female,100571,Master,Other,Coimbatore,13,None,Website,87,193567.61,2224.92,6.47,13,20.4,9,3,1,8.8,0,52.7,40.5,0
C000065,34,Male,34202,PhD,Sales,Delhi,117,Gold,Mobile App,264,38499.0,145.83,2.56,13,6.7,4,1,71,8.6,1,37.5,22.2,0
C000066,53,Male,65121,Diploma,Healthcare,Madurai,4,None,Website,16,70345.24,4396.58,4.76,12,7.7,5,4,52,6.6,2,41.2,52.0,0
C000067,67,Male,75769,Bachelor,Engineer,Delhi,12,None,Store,26,137960.5,5306.17,3.39,16,13.1,4,1,53,9.3,1,32.8,44.4,0
C000068,57,Male,62836,Diploma,Student,Coimbatore,20,Gold,Store,173,98109.46,567.11,9.63,15,14.0,4,0,36,4.9,2,73.7,30.9,1
C000069,21,Male,44137,Bachelor,Other,Delhi,76,None,Marketplace,330,72348.2,219.24,4.71,16,17.0,8,3,55,8.2,0,55.9,40.0,1
C000070,19,Male,32650,Diploma,Sales,Chennai,39,None,Website,249,17645.34,70.86,7.17,17,8.5,9,1,50,10.0,0,79.3,25.8,0
C000071,23,Male,73509,Bachelor,Sales,Chennai,3,None,Website,15,94078.14,6271.88,6.13,15,23.8,8,1,125,7.4,1,51.2,36.6,1
C000072,59,Female,97070,Master,Sales,Chennai,43,Silver,Website,152,91630.18,602.83,3.78,16,11.5,4,1,48,8.0,0,74.5,20.5,0
C000073,21,Male,300000,Master,IT,Chennai,89,Gold,Website,329,186102.5,565.66,3.32,20,12.2,8,3,101,7.4,1,66.6,21.2,1
C000074,46,Male,22297,High School,IT,Chennai,64,Gold,Mobile App,60,64004.02,1066.73,1.2,15,13.2,8,0,44,5.3,0,63.3,34.9,1
C000075,35,Male,43878,Master,Engineer,Delhi,113,None,Website,490,34818.61,71.06,4.29,15,11.9,8,3,73,8.2,3,57.4,39.7,1
C000076,43,Female,18903,High School,IT,Coimbatore,18,Gold,Website,59,18627.85,315.73,5.06,22,10.9,5,1,64,9.5,1,34.1,23.9,1
C000077,61,Female,21467,High School,Healthcare,Pune,15,None,Store,139,12986.4,93.43,9.09,14,12.6,8,2,27,8.6,0,58.6,29.8,0
C000078,51,Male,50568,Master,Teacher,Madurai,82,Platinum,Mobile App,274,20259.89,73.94,2.89,12,14.2,9,1,84,7.6,0,41.6,46.5,0
C000079,27,Female,50716,High School,Student,Hyderabad,109,Silver,Store,721,49092.27,68.09,5.71,13,1.9,2,3,38,7.2,5,48.4,18.6,0
C000080,53,Female,37723,High School,Finance,Hyderabad,5,Silver,Mobile App,23,38244.21,1662.79,3.32,21,19.6,3,4,85,6.7,1,64.0,16.6,0
C000081,31,Female,92888,Diploma,Healthcare,Coimbatore,61,None,Website,598,67928.35,113.59,8.26,17,25.2,4,0,5,8.1,3,77.8,5.9,0
C000082,48,Female,43052,High School,Business,Pune,9,Silver,Mobile App,6,87234.14,14539.02,0.87,19,20.4,4,1,57,8.5,1,63.7,42.4,0
C000083,65,Male,106256,Bachelor,Business,Delhi,108,Gold,Store,652,50531.92,77.5,6.53,12,20.1,10,2,49,9.7,3,63.4,53.3,1
C000084,32,Male,60238,Master,Healthcare,Bengaluru,47,None,Mobile App,255,47997.28,188.22,5.25,12,12.1,6,0,79,8.2,2,61.7,53.8,0
